ALB,0.004474921,-0.005774328,0.004755564,0.000951999,0.001525591,0.002676855,0.001436103,-0.006657204,-0.000665263,0.009304566,-0.01715848,-0.001318134,0.021151783,-0.011499705,0.012217451,-0.005263187,0.017229591,0.005365882,-0.002335967,-0.010116616,0.016452853,-0.02538891,0.016592267,0.003896299
ARE,0.004424361,0.002081099,0.006374039,0,-0.000182083,0.002354804,-0.008530862,-0.006512586,0.006374563,0.006142736,0.006638136,-0.002720558,0.00364061,-0.004890869,0.020613824,-0.008341697,0.002573283,-0.043007915,-0.017201189,-0.012546949,-0.002978461,-0.000680278,0.004956788,-0.009900133
AGN,0.003155503,-0.005190043,-0.003669746,-0.00638101,0.003367551,0.004804052,0.008637774,0.00867019,0.005555742,-0.002387542,-0.010128694,-0.001811475,-0.008520562,-0.005193834,0.005095014,-0.004986483,-0.002073398,0.004038642,0.003090507,-0.000667796,-0.011387997,-0.013312722,0.002735132,-0.001345289
LNT,0.007072468,-0.000504948,0.001010892,-0.010255128,-0.003489507,0.001497703,-0.000997431,0.006526054,0.001508321,0.002015063,0.015345346,-0.011627983,0.010989011,-0.011369403,0.018266093,0.003096748,0.003625978,0.008094047,-0.002344361,-0.022657842,0.002552297,-0.000255142,-0.001528688,0.00435
ALXN,-0.008299086,-0.016083776,-0.006880767,0.011265747,0.018476352,-0.00252464,-0.003605568,-0.008315317,0.001499001,0.01162599,-0.012479202,-0.015399779,-0.002695874,0.002374722,0.004276357,-0.025172359,-0.020186946,0.006005492,-0.00674987,-0.013701727,-0.031125845,-0.012297229,0.015420513,-0.009462819
ALLE,-0.010829358,0.000264254,-0.002109201,0.005967338,0.003860503,0.003071225,-0.002131965,0.002538098,0.001203745,0.006732194,-0.012760946,-0.003312136,0.004391231,0.003069995,0.007395388,-0.00521668,0.006055712,0.013749006,0.004787293,0.00343124,-0.004780754,-0.008263351,-0.001892899,0.003663945
ADS,0.002556621,0.005341373,0.00048214,0.014470317,0.002574602,0.005217122,-0.001476681,0.003581405,0.008510828,0.006602875,-0.021468881,-0.001918297,-0.000326415,-0.001873374,8.15E-05,-0.00924061,-0.001530983,0.001089033,0.007067675,0.004652108,-0.001629635,0.003351968,0.002828577,-0.014861453
ALL,0.003812063,-0.002086121,-0.001837347,0.00307163,-0.006105752,0.009865619,0.001234696,-0.003322717,-0.001474502,-0.003794895,-0.008255445,-0.005793543,-0.000482579,0.003267925,0.005354137,0.000974446,0.000609324,0.005884553,0.005423432,-0.004051093,0.001475326,-0.00635237,0.001345578,-0.011367783
GOOGL,-0.004878895,0.010556749,-0.001977671,-0.000458911,0.010991744,0.002528288,0.004035246,-0.005371296,-0.011943945,-0.000399966,-0.020474425,-0.005112535,0.002724132,0.001853988,0.002864088,0.001538268,0.003680064,0.004161552,0.004920121,0.002925443,0.004579418,-0.002131715,-0.000905994,-0.008053719
GOOG,-0.004746266,0.010837058,-0.002333135,0.000108282,0.012778334,0.001720507,0.006237512,-0.003852863,-0.014477042,-0.001047606,-0.021145688,-0.004365548,0.00393502,0.001864987,0.001868472,9.46E-05,0.002715657,0.005449047,0.003962314,0.00415913,0.004989181,-0.001567989,-0.001866039,-0.005519354
